Country of residence,Origin,Year,Month,Values
USA (EOIR),Malawi,2011,March,1
USA (EOIR),Malawi,2011,August,1
USA (INS/DHS),Malawi,2011,May,2
USA (INS/DHS),Malawi,2011,November,2
Australia,Malawi,2012,March,1
Australia,Malawi,2012,September,1
Belgium,Malawi,2012,September,2
Canada,Malawi,2012,September,2
Germany,Malawi,2012,January,1
Germany,Malawi,2012,February,1
Germany,Malawi,2012,October,1
Ireland,Malawi,2012,February,6
Ireland,Malawi,2012,March,2
Ireland,Malawi,2012,April,1
Ireland,Malawi,2012,May,3
Ireland,Malawi,2012,June,4
Ireland,Malawi,2012,August,1
Ireland,Malawi,2012,September,2
Ireland,Malawi,2012,October,1
Ireland,Malawi,2012,November,1
Ireland,Malawi,2012,December,2
Italy,Malawi,2012,June,1
Italy,Malawi,2012,November,1
Netherlands,Malawi,2012,January,3
Netherlands,Malawi,2012,June,1
Norway,Malawi,2012,November,3
Spain,Malawi,2012,January,1
Spain,Malawi,2012,February,3
Spain,Malawi,2012,March,4
Spain,Malawi,2012,August,1
Sweden,Malawi,2012,January,1
Switzerland,Malawi,2012,April,2
Switzerland,Malawi,2012,July,1
Turkey,Malawi,2012,May,1
United Kingdom of Great Britain and Northern Ireland,Malawi,2012,January,17
United Kingdom of Great Britain and Northern Ireland,Malawi,2012,February,20
United Kingdom of Great Britain and Northern Ireland,Malawi,2012,March,18
United Kingdom of Great Britain and Northern Ireland,Malawi,2012,April,12
United Kingdom of Great Britain and Northern Ireland,Malawi,2012,May,10
United Kingdom of Great Britain and Northern Ireland,Malawi,2012,June,10
United Kingdom of Great Britain and Northern Ireland,Malawi,2012,July,11
United Kingdom of Great Britain and Northern Ireland,Malawi,2012,August,14
United Kingdom of Great Britain and Northern Ireland,Malawi,2012,September,14
United Kingdom of Great Britain and Northern Ireland,Malawi,2012,October,12
United Kingdom of Great Britain and Northern Ireland,Malawi,2012,November,23
United Kingdom of Great Britain and Northern Ireland,Malawi,2012,December,14
USA (EOIR),Malawi,2012,March,2
USA (EOIR),Malawi,2012,September,1
USA (EOIR),Malawi,2012,October,1
USA (EOIR),Malawi,2012,December,1
USA (INS/DHS),Malawi,2012,January,1
USA (INS/DHS),Malawi,2012,March,1
USA (INS/DHS),Malawi,2012,August,1
USA (INS/DHS),Malawi,2012,October,1
Ireland,Malawi,2013,January,3
Ireland,Malawi,2013,February,5
Ireland,Malawi,2013,May,1
Ireland,Malawi,2013,June,4
Ireland,Malawi,2013,July,5
Ireland,Malawi,2013,August,1
Ireland,Malawi,2013,September,9
Ireland,Malawi,2013,October,6
Ireland,Malawi,2013,November,14
Ireland,Malawi,2013,December,7
Italy,Malawi,2013,June,1
Netherlands,Malawi,2013,March,4
Netherlands,Malawi,2013,November,1
New Zealand,Malawi,2013,August,1
Spain,Malawi,2013,October,1
Switzerland,Malawi,2013,July,1
Switzerland,Malawi,2013,December,2
United Kingdom of Great Britain and Northern Ireland,Malawi,2013,January,15
United Kingdom of Great Britain and Northern Ireland,Malawi,2013,February,25
United Kingdom of Great Britain and Northern Ireland,Malawi,2013,March,18
United Kingdom of Great Britain and Northern Ireland,Malawi,2013,April,15
United Kingdom of Great Britain and Northern Ireland,Malawi,2013,May,19
United Kingdom of Great Britain and Northern Ireland,Malawi,2013,June,8
United Kingdom of Great Britain and Northern Ireland,Malawi,2013,July,14
United Kingdom of Great Britain and Northern Ireland,Malawi,2013,August,6
United Kingdom of Great Britain and Northern Ireland,Malawi,2013,September,10
United Kingdom of Great Britain and Northern Ireland,Malawi,2013,October,17
United Kingdom of Great Britain and Northern Ireland,Malawi,2013,November,19
United Kingdom of Great Britain and Northern Ireland,Malawi,2013,December,16
USA (INS/DHS),Malawi,2013,January,1
USA (INS/DHS),Malawi,2013,December,2
Australia,Malawi,2014,July,4
Belgium,Malawi,2014,December,2
Canada,Malawi,2014,December,1
Denmark,Malawi,2014,August,1
Germany,Malawi,2014,January,1
Germany,Malawi,2014,April,1
Greece,Malawi,2014,October,1
Ireland,Malawi,2014,January,4
Ireland,Malawi,2014,February,2
Ireland,Malawi,2014,March,5
Ireland,Malawi,2014,April,5
Ireland,Malawi,2014,May,15
Ireland,Malawi,2014,June,6
Ireland,Malawi,2014,July,3
Ireland,Malawi,2014,August,4
Ireland,Malawi,2014,September,3
Ireland,Malawi,2014,October,4
Ireland,Malawi,2014,November,4
Ireland,Malawi,2014,December,5
Italy,Malawi,2014,July,1
Japan,Malawi,2014,July,1
Luxembourg,Malawi,2014,July,9
Sweden,Malawi,2014,January,1
Sweden,Malawi,2014,September,1
Sweden,Malawi,2014,October,1
Switzerland,Malawi,2014,February,1
Switzerland,Malawi,2014,August,2
Switzerland,Malawi,2014,October,1
United Kingdom of Great Britain and Northern Ireland,Malawi,2014,January,26
United Kingdom of Great Britain and Northern Ireland,Malawi,2014,February,9
United Kingdom of Great Britain and Northern Ireland,Malawi,2014,March,9
United Kingdom of Great Britain and Northern Ireland,Malawi,2014,April,17
United Kingdom of Great Britain and Northern Ireland,Malawi,2014,May,21
United Kingdom of Great Britain and Northern Ireland,Malawi,2014,June,4
United Kingdom of Great Britain and Northern Ireland,Malawi,2014,July,2
United Kingdom of Great Britain and Northern Ireland,Malawi,2014,August,22
United Kingdom of Great Britain and Northern Ireland,Malawi,2014,September,8
United Kingdom of Great Britain and Northern Ireland,Malawi,2014,October,12
United Kingdom of Great Britain and Northern Ireland,Malawi,2014,November,9
United Kingdom of Great Britain and Northern Ireland,Malawi,2014,December,5
USA (INS/DHS),Malawi,2014,May,1
USA (INS/DHS),Malawi,2014,July,4
USA (INS/DHS),Malawi,2014,August,1
USA (INS/DHS),Malawi,2014,September,1
Belgium,Malawi,2015,December,1
Canada,Malawi,2015,February,1
Canada,Malawi,2015,March,2
Germany,Malawi,2015,February,2
Germany,Malawi,2015,March,1
Ireland,Malawi,2015,January,6
Ireland,Malawi,2015,February,6
Ireland,Malawi,2015,March,5
Ireland,Malawi,2015,April,7
Ireland,Malawi,2015,May,9
Ireland,Malawi,2015,June,8
Ireland,Malawi,2015,July,7
Ireland,Malawi,2015,August,2
Ireland,Malawi,2015,September,13
Ireland,Malawi,2015,October,6
Ireland,Malawi,2015,November,19
Ireland,Malawi,2015,December,7
Italy,Malawi,2015,August,1
Portugal,Malawi,2015,January,1
Spain,Malawi,2015,August,1
Switzerland,Malawi,2015,May,1
United Kingdom of Great Britain and Northern Ireland,Malawi,2015,January,4
United Kingdom of Great Britain and Northern Ireland,Malawi,2015,February,14
United Kingdom of Great Britain and Northern Ireland,Malawi,2015,March,15
United Kingdom of Great Britain and Northern Ireland,Malawi,2015,April,18
United Kingdom of Great Britain and Northern Ireland,Malawi,2015,May,6
United Kingdom of Great Britain and Northern Ireland,Malawi,2015,June,8
United Kingdom of Great Britain and Northern Ireland,Malawi,2015,July,15
United Kingdom of Great Britain and Northern Ireland,Malawi,2015,August,8
United Kingdom of Great Britain and Northern Ireland,Malawi,2015,September,12
United Kingdom of Great Britain and Northern Ireland,Malawi,2015,October,5
United Kingdom of Great Britain and Northern Ireland,Malawi,2015,November,7
United Kingdom of Great Britain and Northern Ireland,Malawi,2015,December,12
USA (INS/DHS),Malawi,2015,January,1
USA (INS/DHS),Malawi,2015,March,3
USA (INS/DHS),Malawi,2015,May,1
USA (INS/DHS),Malawi,2015,June,2
USA (INS/DHS),Malawi,2015,July,1
USA (INS/DHS),Malawi,2015,August,1
USA (INS/DHS),Malawi,2015,September,1
USA (INS/DHS),Malawi,2015,October,1
USA (INS/DHS),Malawi,2015,November,1
Canada,Malawi,2016,November,0
Germany,Malawi,2016,April,0
Germany,Malawi,2016,July,0
Germany,Malawi,2016,September,0
Ireland,Malawi,2016,January,0
Ireland,Malawi,2016,February,8
Ireland,Malawi,2016,March,0
Ireland,Malawi,2016,April,0
Ireland,Malawi,2016,May,0
Ireland,Malawi,2016,June,6
Ireland,Malawi,2016,July,0
Ireland,Malawi,2016,August,5
Ireland,Malawi,2016,September,8
Ireland,Malawi,2016,October,0
Ireland,Malawi,2016,November,0
Ireland,Malawi,2016,December,0
Ireland,Malawi,2017,January,0
Ireland,Malawi,2017,February,5
Ireland,Malawi,2017,March,0
Italy,Malawi,2016,September,0
Italy,Malawi,2017,March,0
Netherlands,Malawi,2016,April,0
Norway,Malawi,2016,December,0
Rep. of Korea,Malawi,2016,August,0
Switzerland,Malawi,2016,November,0
United Kingdom of Great Britain and Northern Ireland,Malawi,2016,January,8
United Kingdom of Great Britain and Northern Ireland,Malawi,2016,February,14
United Kingdom of Great Britain and Northern Ireland,Malawi,2016,March,0
United Kingdom of Great Britain and Northern Ireland,Malawi,2016,April,13
United Kingdom of Great Britain and Northern Ireland,Malawi,2016,May,18
United Kingdom of Great Britain and Northern Ireland,Malawi,2016,June,14
United Kingdom of Great Britain and Northern Ireland,Malawi,2016,July,8
United Kingdom of Great Britain and Northern Ireland,Malawi,2016,August,16
United Kingdom of Great Britain and Northern Ireland,Malawi,2016,September,8
United Kingdom of Great Britain and Northern Ireland,Malawi,2016,October,0
United Kingdom of Great Britain and Northern Ireland,Malawi,2016,November,7
United Kingdom of Great Britain and Northern Ireland,Malawi,2016,December,0
United Kingdom of Great Britain and Northern Ireland,Malawi,2017,January,5
United Kingdom of Great Britain and Northern Ireland,Malawi,2017,February,7
United Kingdom of Great Britain and Northern Ireland,Malawi,2017,March,9
USA (INS/DHS),Malawi,2016,January,0
USA (INS/DHS),Malawi,2016,February,0
USA (INS/DHS),Malawi,2016,March,0
USA (INS/DHS),Malawi,2016,April,0
USA (INS/DHS),Malawi,2016,June,0
USA (INS/DHS),Malawi,2016,July,0
USA (INS/DHS),Malawi,2016,August,0
USA (INS/DHS),Malawi,2016,September,0
USA (INS/DHS),Malawi,2016,October,0
USA (INS/DHS),Malawi,2016,November,0
USA (INS/DHS),Malawi,2016,December,0
USA (INS/DHS),Malawi,2017,January,0
USA (INS/DHS),Malawi,2017,February,0
USA (INS/DHS),Malawi,2017,March,0
USA (INS/DHS),Malawi,2017,April,0
USA (INS/DHS),Malawi,2017,May,0
Austria,Mali,1999,January,1
Austria,Mali,1999,May,1
Austria,Mali,1999,September,2
Belgium,Mali,1999,January,1
Belgium,Mali,1999,March,2
Belgium,Mali,1999,April,1
Belgium,Mali,1999,May,1
Belgium,Mali,1999,December,1
Canada,Mali,1999,February,3
Canada,Mali,1999,March,2
Canada,Mali,1999,April,1
Canada,Mali,1999,May,1
Canada,Mali,1999,July,3
Canada,Mali,1999,August,2
Canada,Mali,1999,September,3
Canada,Mali,1999,October,4
Canada,Mali,1999,November,2
Canada,Mali,1999,December,3
France,Mali,1999,January,75
France,Mali,1999,February,116
France,Mali,1999,March,161
France,Mali,1999,April,158
France,Mali,1999,May,137
France,Mali,1999,June,144
France,Mali,1999,July,163
France,Mali,1999,August,109
France,Mali,1999,September,130
France,Mali,1999,October,131
France,Mali,1999,November,165
France,Mali,1999,December,171
Germany,Mali,1999,January,2
Germany,Mali,1999,March,3
Germany,Mali,1999,April,3
Germany,Mali,1999,June,1
Germany,Mali,1999,August,5
Germany,Mali,1999,September,1
Germany,Mali,1999,October,3
Germany,Mali,1999,December,5
Hungary,Mali,1999,December,1
Ireland,Mali,1999,June,1
Ireland,Mali,1999,December,1
Netherlands,Mali,1999,October,1
Netherlands,Mali,1999,November,2
Spain,Mali,1999,December,1
Switzerland,Mali,1999,January,2
Switzerland,Mali,1999,February,1
Switzerland,Mali,1999,March,3
Switzerland,Mali,1999,April,2
Switzerland,Mali,1999,May,1
Switzerland,Mali,1999,June,3
Switzerland,Mali,1999,July,6
Switzerland,Mali,1999,August,7
Switzerland,Mali,1999,September,6
Switzerland,Mali,1999,October,5
Switzerland,Mali,1999,November,5
Switzerland,Mali,1999,December,8
USA (EOIR),Mali,1999,June,1
USA (EOIR),Mali,1999,October,1
Australia,Mali,2000,May,1
Australia,Mali,2000,October,1
Austria,Mali,2000,August,1
Austria,Mali,2000,September,2
Belgium,Mali,2000,April,1
Belgium,Mali,2000,June,2
Belgium,Mali,2000,August,1
Belgium,Mali,2000,October,1
Belgium,Mali,2000,December,1
Canada,Mali,2000,January,1
Canada,Mali,2000,February,2
Canada,Mali,2000,March,4
Canada,Mali,2000,April,1
Canada,Mali,2000,May,2
Canada,Mali,2000,June,1
Canada,Mali,2000,July,4
Canada,Mali,2000,August,2
Canada,Mali,2000,September,4
Canada,Mali,2000,October,8
Canada,Mali,2000,November,2
Canada,Mali,2000,December,3
Czech Rep.,Mali,2000,September,1
Denmark,Mali,2000,July,1
France,Mali,2000,January,264
France,Mali,2000,February,325
France,Mali,2000,March,399
France,Mali,2000,April,219
France,Mali,2000,May,214
France,Mali,2000,June,221
France,Mali,2000,July,225
France,Mali,2000,August,252
France,Mali,2000,September,200
France,Mali,2000,October,205
France,Mali,2000,November,187
France,Mali,2000,December,219
Germany,Mali,2000,January,7
Germany,Mali,2000,February,4
Germany,Mali,2000,March,2
Germany,Mali,2000,April,3
Germany,Mali,2000,May,4
Germany,Mali,2000,June,3
Germany,Mali,2000,July,4
Germany,Mali,2000,August,5
Germany,Mali,2000,September,4
Germany,Mali,2000,October,3
Germany,Mali,2000,December,1
Hungary,Mali,2000,May,2
Netherlands,Mali,2000,April,2
Netherlands,Mali,2000,May,2
Netherlands,Mali,2000,July,1
Netherlands,Mali,2000,August,2
Netherlands,Mali,2000,September,1
New Zealand,Mali,2000,November,1
Slovenia,Mali,2000,May,1
Spain,Mali,2000,April,1
Spain,Mali,2000,June,1
Switzerland,Mali,2000,January,7
Switzerland,Mali,2000,February,3
Switzerland,Mali,2000,March,7
Switzerland,Mali,2000,April,3
Switzerland,Mali,2000,May,7
Switzerland,Mali,2000,June,2
Switzerland,Mali,2000,August,4
Switzerland,Mali,2000,September,6
Switzerland,Mali,2000,October,5
Switzerland,Mali,2000,November,6
Switzerland,Mali,2000,December,2
USA (EOIR),Mali,2000,March,2
USA (EOIR),Mali,2000,May,1
USA (EOIR),Mali,2000,September,1
USA (EOIR),Mali,2000,November,1
USA (EOIR),Mali,2000,December,1
Austria,Mali,2001,July,1
Austria,Mali,2001,September,1
Austria,Mali,2001,December,2
Belgium,Mali,2001,January,1
Belgium,Mali,2001,February,1
Belgium,Mali,2001,June,1
Belgium,Mali,2001,August,1
Belgium,Mali,2001,December,1
Canada,Mali,2001,January,9
Canada,Mali,2001,February,7
Canada,Mali,2001,March,4
Canada,Mali,2001,April,1
Canada,Mali,2001,May,2
Canada,Mali,2001,June,2
Canada,Mali,2001,July,9
Canada,Mali,2001,August,4
Canada,Mali,2001,September,3
Canada,Mali,2001,October,3
Canada,Mali,2001,November,2
Czech Rep.,Mali,2001,March,1
Denmark,Mali,2001,October,1
France,Mali,2001,January,182
France,Mali,2001,February,264
France,Mali,2001,March,264
France,Mali,2001,April,234
France,Mali,2001,May,250
France,Mali,2001,June,198
France,Mali,2001,July,280
France,Mali,2001,August,226
France,Mali,2001,September,228
France,Mali,2001,October,275
France,Mali,2001,November,288
France,Mali,2001,December,248
Germany,Mali,2001,January,3
Germany,Mali,2001,February,1
Germany,Mali,2001,March,2
Germany,Mali,2001,May,6
Germany,Mali,2001,June,3
Germany,Mali,2001,July,19
Germany,Mali,2001,August,13
Germany,Mali,2001,September,6
Germany,Mali,2001,October,15
Germany,Mali,2001,November,10
Germany,Mali,2001,December,9
Ireland,Mali,2001,June,1
Netherlands,Mali,2001,January,1
Netherlands,Mali,2001,February,2
Netherlands,Mali,2001,April,1
Netherlands,Mali,2001,May,2
Netherlands,Mali,2001,June,2
Netherlands,Mali,2001,July,1
Netherlands,Mali,2001,August,1
Netherlands,Mali,2001,September,1
Netherlands,Mali,2001,October,1
Netherlands,Mali,2001,November,8
Norway,Mali,2001,September,1
Romania,Mali,2001,June,1
Romania,Mali,2001,August,1
Spain,Mali,2001,April,3
Spain,Mali,2001,September,2
Spain,Mali,2001,November,1
Spain,Mali,2001,December,3
Sweden,Mali,2001,July,3
Sweden,Mali,2001,August,1
Switzerland,Mali,2001,January,6
Switzerland,Mali,2001,February,9
Switzerland,Mali,2001,March,4
Switzerland,Mali,2001,April,8
Switzerland,Mali,2001,May,5
Switzerland,Mali,2001,June,5
Switzerland,Mali,2001,July,7
Switzerland,Mali,2001,August,12
Switzerland,Mali,2001,September,8
Switzerland,Mali,2001,October,17
Switzerland,Mali,2001,November,8
Switzerland,Mali,2001,December,8
USA (EOIR),Mali,2001,March,1
USA (EOIR),Mali,2001,November,3
USA (EOIR),Mali,2001,December,1
Austria,Mali,2002,May,1
Austria,Mali,2002,June,1
Austria,Mali,2002,July,1
Austria,Mali,2002,August,1
Austria,Mali,2002,October,1
Austria,Mali,2002,November,1
Austria,Mali,2002,December,2
Belgium,Mali,2002,April,1
Belgium,Mali,2002,May,1
Belgium,Mali,2002,July,1
Belgium,Mali,2002,December,1
Canada,Mali,2002,January,3
Canada,Mali,2002,February,2
Canada,Mali,2002,March,2
Canada,Mali,2002,April,2
Canada,Mali,2002,May,3
Canada,Mali,2002,June,3
Canada,Mali,2002,August,8
Canada,Mali,2002,September,19
Canada,Mali,2002,October,20
Canada,Mali,2002,November,10
Canada,Mali,2002,December,1
Czech Rep.,Mali,2002,April,1
Denmark,Mali,2002,February,1
Denmark,Mali,2002,December,1
France,Mali,2002,January,265
France,Mali,2002,February,215
France,Mali,2002,March,215
France,Mali,2002,April,222
France,Mali,2002,May,170
France,Mali,2002,June,237
France,Mali,2002,July,294
France,Mali,2002,August,196
France,Mali,2002,September,162
France,Mali,2002,October,166
France,Mali,2002,November,137
France,Mali,2002,December,134
Germany,Mali,2002,January,13
Germany,Mali,2002,February,5
Germany,Mali,2002,March,8
Germany,Mali,2002,April,5
Germany,Mali,2002,May,3
Germany,Mali,2002,June,5
Germany,Mali,2002,July,5
Germany,Mali,2002,August,5
Germany,Mali,2002,September,6
Germany,Mali,2002,October,5
Germany,Mali,2002,November,5
Germany,Mali,2002,December,5
Iceland,Mali,2002,August,1
Ireland,Mali,2002,July,1
Ireland,Mali,2002,August,1
Netherlands,Mali,2002,January,1
Netherlands,Mali,2002,February,2
Netherlands,Mali,2002,March,1
Netherlands,Mali,2002,May,2
Netherlands,Mali,2002,June,1
Netherlands,Mali,2002,September,2
Netherlands,Mali,2002,November,1
Netherlands,Mali,2002,December,2
Norway,Mali,2002,January,1
Norway,Mali,2002,June,1
Norway,Mali,2002,August,2
Poland,Mali,2002,March,1
Romania,Mali,2002,March,2
Spain,Mali,2002,February,2
Spain,Mali,2002,March,5
Spain,Mali,2002,April,1
Spain,Mali,2002,May,2
Spain,Mali,2002,June,1
Spain,Mali,2002,July,2
Spain,Mali,2002,August,6
Spain,Mali,2002,October,3
Spain,Mali,2002,November,1
Spain,Mali,2002,December,2
Switzerland,Mali,2002,January,15
Switzerland,Mali,2002,February,7
Switzerland,Mali,2002,March,6
Switzerland,Mali,2002,April,3
Switzerland,Mali,2002,May,7
Switzerland,Mali,2002,June,5
Switzerland,Mali,2002,July,11
Switzerland,Mali,2002,August,14
Switzerland,Mali,2002,September,8
Switzerland,Mali,2002,October,13
Switzerland,Mali,2002,November,6
Switzerland,Mali,2002,December,7
United Kingdom of Great Britain and Northern Ireland,Mali,2002,January,1
United Kingdom of Great Britain and Northern Ireland,Mali,2002,April,3
United Kingdom of Great Britain and Northern Ireland,Mali,2002,June,2
United Kingdom of Great Britain and Northern Ireland,Mali,2002,November,2
United Kingdom of Great Britain and Northern Ireland,Mali,2002,December,1
USA (EOIR),Mali,2002,February,1
USA (EOIR),Mali,2002,March,1
USA (EOIR),Mali,2002,April,2
USA (EOIR),Mali,2002,May,2
USA (EOIR),Mali,2002,July,1
USA (EOIR),Mali,2002,August,1
USA (EOIR),Mali,2002,September,1
USA (EOIR),Mali,2002,October,1
USA (EOIR),Mali,2002,December,2
Austria,Mali,2003,February,1
Austria,Mali,2003,March,1
Austria,Mali,2003,June,2
Austria,Mali,2003,August,1
Austria,Mali,2003,October,2
Austria,Mali,2003,November,1
Belgium,Mali,2003,January,3
Belgium,Mali,2003,March,1
Belgium,Mali,2003,June,1
Belgium,Mali,2003,September,1
Belgium,Mali,2003,November,1
Belgium,Mali,2003,December,3
Canada,Mali,2003,January,3
Canada,Mali,2003,February,1
Canada,Mali,2003,April,2
Canada,Mali,2003,May,1
Canada,Mali,2003,June,1
Canada,Mali,2003,July,1
Canada,Mali,2003,August,1
Canada,Mali,2003,October,3
Canada,Mali,2003,November,1
Canada,Mali,2003,December,3
Czech Rep.,Mali,2003,March,1
France,Mali,2003,January,100
France,Mali,2003,February,135
France,Mali,2003,March,127
France,Mali,2003,April,101
France,Mali,2003,May,67
France,Mali,2003,June,78
France,Mali,2003,July,116
France,Mali,2003,August,115
France,Mali,2003,September,112
France,Mali,2003,October,96
France,Mali,2003,November,89
France,Mali,2003,December,94
Germany,Mali,2003,January,5
Germany,Mali,2003,February,4
Germany,Mali,2003,March,2
Germany,Mali,2003,April,3
Germany,Mali,2003,June,3
Germany,Mali,2003,July,8
Germany,Mali,2003,August,2
Germany,Mali,2003,September,6
Germany,Mali,2003,October,4
Germany,Mali,2003,November,3
Germany,Mali,2003,December,1
Hungary,Mali,2003,November,1
Ireland,Mali,2003,June,1
Luxembourg,Mali,2003,February,1
Luxembourg,Mali,2003,March,4
Luxembourg,Mali,2003,April,6
Luxembourg,Mali,2003,June,1
Malta,Mali,2003,March,4
Malta,Mali,2003,May,1
Malta,Mali,2003,November,1
Netherlands,Mali,2003,February,1
Norway,Mali,2003,March,1
Norway,Mali,2003,July,1
Norway,Mali,2003,August,1
Spain,Mali,2003,January,4
Spain,Mali,2003,February,5
Spain,Mali,2003,March,3
Spain,Mali,2003,April,2
Spain,Mali,2003,June,3
Spain,Mali,2003,July,1
Spain,Mali,2003,August,2
Spain,Mali,2003,September,1
Spain,Mali,2003,November,12
Spain,Mali,2003,December,29
Sweden,Mali,2003,September,2
Sweden,Mali,2003,October,1
Sweden,Mali,2003,December,1
Switzerland,Mali,2003,January,8
Switzerland,Mali,2003,February,2
Switzerland,Mali,2003,March,7
Switzerland,Mali,2003,April,5
Switzerland,Mali,2003,May,6
Switzerland,Mali,2003,June,5
Switzerland,Mali,2003,July,4
Switzerland,Mali,2003,August,3
Switzerland,Mali,2003,September,6
Switzerland,Mali,2003,October,7
Switzerland,Mali,2003,November,3
Switzerland,Mali,2003,December,5
United Kingdom of Great Britain and Northern Ireland,Mali,2003,July,1
United Kingdom of Great Britain and Northern Ireland,Mali,2003,November,1
United Kingdom of Great Britain and Northern Ireland,Mali,2003,December,1
USA (EOIR),Mali,2003,January,1
USA (EOIR),Mali,2003,February,1
USA (EOIR),Mali,2003,March,1
USA (EOIR),Mali,2003,April,3
USA (EOIR),Mali,2003,May,2
USA (EOIR),Mali,2003,July,1
USA (EOIR),Mali,2003,August,1
USA (EOIR),Mali,2003,September,2
USA (INS/DHS),Mali,2003,June,8
Austria,Mali,2004,January,1
Austria,Mali,2004,February,2
Austria,Mali,2004,March,4
Austria,Mali,2004,April,3
Austria,Mali,2004,May,3
Austria,Mali,2004,June,4
Austria,Mali,2004,July,7
Austria,Mali,2004,August,2
Austria,Mali,2004,September,7
Austria,Mali,2004,October,4
Austria,Mali,2004,November,7
Austria,Mali,2004,December,4
Belgium,Mali,2004,January,2
Belgium,Mali,2004,February,1
Belgium,Mali,2004,June,2
Belgium,Mali,2004,July,3
Belgium,Mali,2004,August,1
Belgium,Mali,2004,October,1
Belgium,Mali,2004,November,1
Belgium,Mali,2004,December,3
Canada,Mali,2004,January,2
Canada,Mali,2004,February,1
Canada,Mali,2004,March,2
Canada,Mali,2004,April,2
Canada,Mali,2004,June,2
Canada,Mali,2004,September,1
Canada,Mali,2004,October,1
Canada,Mali,2004,November,1
Canada,Mali,2004,December,1
Czech Rep.,Mali,2004,July,2
Denmark,Mali,2004,March,1
France,Mali,2004,January,51
France,Mali,2004,February,76
France,Mali,2004,March,92
France,Mali,2004,April,80
France,Mali,2004,May,60
France,Mali,2004,June,78
France,Mali,2004,July,79
France,Mali,2004,August,71
France,Mali,2004,September,61
France,Mali,2004,October,64
France,Mali,2004,November,66
France,Mali,2004,December,81
Germany,Mali,2004,January,2
Germany,Mali,2004,February,6
Germany,Mali,2004,March,5
Germany,Mali,2004,April,7
Germany,Mali,2004,May,6
Germany,Mali,2004,June,5
Germany,Mali,2004,July,2
Germany,Mali,2004,August,3
Germany,Mali,2004,October,5
Germany,Mali,2004,November,3
Germany,Mali,2004,December,2
Luxembourg,Mali,2004,April,1
Luxembourg,Mali,2004,June,1
Luxembourg,Mali,2004,September,2
Luxembourg,Mali,2004,October,1
Malta,Mali,2004,November,1
Malta,Mali,2004,December,1
Netherlands,Mali,2004,April,1
Netherlands,Mali,2004,June,1
Netherlands,Mali,2004,October,3
Spain,Mali,2004,January,11
Spain,Mali,2004,February,23
Spain,Mali,2004,March,17
Spain,Mali,2004,April,17
Spain,Mali,2004,May,12
Spain,Mali,2004,June,12
Spain,Mali,2004,July,26
Spain,Mali,2004,August,5
Spain,Mali,2004,September,25
Spain,Mali,2004,October,92
Spain,Mali,2004,November,7
Spain,Mali,2004,December,5
Sweden,Mali,2004,January,2
Sweden,Mali,2004,October,2
Switzerland,Mali,2004,January,7
Switzerland,Mali,2004,February,15
Switzerland,Mali,2004,March,12
Switzerland,Mali,2004,April,6
Switzerland,Mali,2004,May,5
Switzerland,Mali,2004,June,4
Switzerland,Mali,2004,July,4
Switzerland,Mali,2004,August,4
Switzerland,Mali,2004,September,3
Switzerland,Mali,2004,October,3
Switzerland,Mali,2004,November,3
Switzerland,Mali,2004,December,1
United Kingdom of Great Britain and Northern Ireland,Mali,2004,January,1
United Kingdom of Great Britain and Northern Ireland,Mali,2004,February,1
United Kingdom of Great Britain and Northern Ireland,Mali,2004,May,3
United Kingdom of Great Britain and Northern Ireland,Mali,2004,June,2
United Kingdom of Great Britain and Northern Ireland,Mali,2004,August,2
United Kingdom of Great Britain and Northern Ireland,Mali,2004,October,1
United Kingdom of Great Britain and Northern Ireland,Mali,2004,November,1
USA (EOIR),Mali,2004,January,1
USA (EOIR),Mali,2004,March,3
USA (EOIR),Mali,2004,April,4
USA (EOIR),Mali,2004,May,3
USA (EOIR),Mali,2004,June,1
USA (EOIR),Mali,2004,July,1
USA (EOIR),Mali,2004,August,1
USA (EOIR),Mali,2004,November,1
USA (EOIR),Mali,2004,December,1
USA (INS/DHS),Mali,2004,January,6
USA (INS/DHS),Mali,2004,July,9
USA (INS/DHS),Mali,2004,August,6
USA (INS/DHS),Mali,2004,October,11
USA (INS/DHS),Mali,2004,November,9
USA (INS/DHS),Mali,2004,December,16
Austria,Mali,2005,January,3
Austria,Mali,2005,February,7
Austria,Mali,2005,March,4
Austria,Mali,2005,April,3
Austria,Mali,2005,May,1
Austria,Mali,2005,June,3
Austria,Mali,2005,July,1
Austria,Mali,2005,September,1
Austria,Mali,2005,October,2
Austria,Mali,2005,November,3
Belgium,Mali,2005,February,1
Belgium,Mali,2005,March,1
Belgium,Mali,2005,April,2
Belgium,Mali,2005,May,1
Belgium,Mali,2005,June,1
Belgium,Mali,2005,July,2
Belgium,Mali,2005,October,3
Belgium,Mali,2005,December,2
Canada,Mali,2005,February,2
Canada,Mali,2005,September,1
Czech Rep.,Mali,2005,February,1
Denmark,Mali,2005,February,1
France,Mali,2005,January,74
France,Mali,2005,February,68
France,Mali,2005,March,80
France,Mali,2005,April,98
France,Mali,2005,May,59
France,Mali,2005,June,58
France,Mali,2005,July,38
France,Mali,2005,August,16
France,Mali,2005,September,24
France,Mali,2005,October,24
France,Mali,2005,November,9
France,Mali,2005,December,18
Germany,Mali,2005,January,3
Germany,Mali,2005,February,3
Germany,Mali,2005,March,2
Germany,Mali,2005,April,4
