,country,product,value
262,South Sudan,Millet,20
263,South Sudan,Sesame,20
264,South Sudan,Cassava,20
266,Sudan,Sorghum,20
267,Sudan,Millet,20
268,Sudan,Wheat,20
270,Uganda,Beans,20
271,Uganda,Sorghum,20
272,Uganda,Maize,20
273,Uganda,Millet,20
274,Uganda,Cassava,20
275,Uganda,Maize meal,20
276,Uganda,Oil,20
277,Zambia,Sorghum,20
278,Zambia,Maize,20
279,Zambia,Rice,20
280,Zambia,Groundnuts,20
281,Zambia,Cassava,20
282,Zambia,Beans,20
283,Zambia,Maize meal,20
285,Zambia,Millet,20
286,Zimbabwe,Beans,20
287,Zimbabwe,Maize,20
288,Zimbabwe,Sorghum,20
289,Zimbabwe,Millet,20
290,Zimbabwe,Wheat,20
291,Zimbabwe,Oil,20
292,Zimbabwe,Groundnuts,20
293,Zimbabwe,Cowpeas,20
294,Zimbabwe,Maize meal,20
295,Zimbabwe,Oil,20
297,Zimbabwe,Wheat flour,20
298,Zimbabwe,Sugar,20
