,country,product,value
159,Mozambique,"Maize meal (white, without bran) ",20
160,Mozambique,Beans (magnum),20
161,Mozambique,"Maize meal (white, with bran)",20
162,Mozambique,Cassava flour,20
163,Niger,Maize,20
164,Niger,Rice (imported),20
165,Niger,Sorghum,20
166,Niger,Millet,20
167,Niger,Beans (niebe),20
168,Niger,Rice (local),20
169,Nigeria,Maize,20
170,Nigeria,Rice (imported),20
171,Nigeria,Sorghum,20
172,Nigeria,Millet,20
173,Nigeria,Wheat,20
174,Nigeria,Beans (niebe),20
175,Nigeria,Bread,20
176,Nigeria,Oil (palm),20
177,Nigeria,Maize (white),20
178,Nigeria,Rice (local),20
179,Nigeria,Yam,20
180,Nigeria,Groundnuts (shelled),20
181,Nigeria,Sorghum (white),20
182,Nigeria,Maize (yellow),20
183,Nigeria,Fuel (diesel),20
184,Nigeria,Fuel (petrol-gasoline),20
185,Nigeria,Cowpeas (white),20
186,Nigeria,Cowpeas (brown),20
187,Nigeria,Sorghum (brown),20
188,Nigeria,Gari (yellow),20
189,Nigeria,Gari (white),20
190,Nigeria,Yam (Abuja),20
191,Rwanda,Maize,20
192,Rwanda,Rice,20
193,Rwanda,Wheat flour,20
194,Rwanda,Sorghum,20
195,Rwanda,Cassava,20
196,Rwanda,Rice (local),20
197,Rwanda,Cassava flour,20
198,Rwanda,Maize flour,20
199,Rwanda,Maize flour (imported),20
200,Rwanda,Milk,20
201,Rwanda,Wheat,20
202,Rwanda,Sweet potatoes,20
203,Rwanda,Chili (red),20
204,Rwanda,Eggs,20
205,Rwanda,Garlic,20
206,Rwanda,Onions (red),20
207,Rwanda,Tomatoes,20
208,Rwanda,Groundnuts (shelled),20
209,Rwanda,Meat (beef),20
210,Rwanda,Potatoes (Irish),20
211,Rwanda,Carrots,20
212,Rwanda,Cabbage,20
213,Rwanda,Oranges (big size),20
214,Rwanda,Soybeans,20
215,Rwanda,"Rice (imported, Indian)",20
216,Rwanda,Sorghum flour,20
217,Rwanda,Bananas,20
218,Rwanda,Beans (dry),20
219,Rwanda,Peppers (green),20
220,Rwanda,"Rice (imported, Tanzanian)",20
221,Rwanda,Livestock (Goat),20
222,Rwanda,Spinach,20
223,Rwanda,Guava,20
224,Rwanda,Papaya,20
225,Rwanda,Mangoes,20
226,Rwanda,Eggplants,20
227,Rwanda,Charcoal,20
228,Rwanda,Passion fruit,20
229,Rwanda,Zucchini,20
230,Rwanda,Livestock (hen),20
231,Rwanda,Avocados,20
232,Rwanda,Cassava leaves,20
233,Rwanda,Peas (fresh),20
234,Rwanda,Peas (dry),20
235,Rwanda,Onions (white),20
236,Rwanda,Meat (pork),20
237,Rwanda,Meat (mutton),20
238,Rwanda,Livestock (cattle),20
239,Rwanda,Livestock (Sheep),20
240,Rwanda,Livestock (pig),20
241,Rwanda,Meat (goat),20
242,Rwanda,Cucumbers (greenhouse),20
243,Rwanda,"Beans (green, fresh)",20
244,Rwanda,Apples (red),20
245,Rwanda,Cauliflower,20
246,Senegal,Maize (local),20
247,Senegal,Rice (imported),20
248,Senegal,Sorghum,20
249,Senegal,Millet,20
250,Senegal,Maize (imported),20
251,Senegal,Rice (local),20
252,South Sudan,Fuel (diesel),20
253,South Sudan,Fuel (petrol-gasoline),20
254,South Sudan,Exchange rate,20
255,South Sudan,Exchange rate (unofficial),20
256,South Sudan,Wheat flour,20
257,South Sudan,Maize (white),20
258,South Sudan,Beans (red),20
259,South Sudan,Oil (vegetable),20
260,South Sudan,Groundnuts (shelled),20
261,South Sudan,Sorghum (white),20
262,South Sudan,Millet (white),20
263,South Sudan,Sesame,20
264,South Sudan,Cassava,20
265,South Sudan,Cassava (dry),20
266,Sudan,Sorghum,20
267,Sudan,Millet,20
268,Sudan,Wheat,20
269,Sudan,Sorghum (food aid),20
270,Uganda,Beans,20
271,Uganda,Sorghum,20
272,Uganda,Maize (white),20
273,Uganda,Millet,20
274,Uganda,Cassava flour,20
275,Uganda,Maize flour,20
276,Uganda,Oil (vegetable),20
277,Zambia,Sorghum,20
278,Zambia,Maize (white),20
279,Zambia,Rice (local),20
280,Zambia,Groundnuts (shelled),20
281,Zambia,Cassava meal,20
282,Zambia,Beans (dry),20
283,Zambia,"Maize meal (white, roller)",20
284,Zambia,"Maize meal (white, breakfast)",20
285,Zambia,Millet,20
286,Zimbabwe,Beans,20
287,Zimbabwe,Maize,20
288,Zimbabwe,Sorghum,20
289,Zimbabwe,Millet,20
290,Zimbabwe,Wheat,20
291,Zimbabwe,Oil (vegetable),20
292,Zimbabwe,Groundnuts (shelled),20
293,Zimbabwe,Cowpeas,20
294,Zimbabwe,"Maize meal (white, roller)",20
295,Zimbabwe,"Oil (vegetable, fortified)",20
296,Zimbabwe,"Maize meal (white, fortified)",20
297,Zimbabwe,Wheat flour (fortified),20
298,Zimbabwe,"Sugar (white, fortified)",20
